,Unnamed: 0,Unnamed: 0.1,CourseName,CourseTag,Content,Down-votes,Up-votes,User,NaiveWeight,Weight,score,weighted_score
0,0,0,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",真情实感 演讲 感动 ,0,0,网易安徽省滁州手机网友&nbsp;有态度网友07B1_y： ,0,0.00021039343572480537,2.5574886293909,0.0005380788195646749
1,1,1,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",婚礼 时光 祝福 ️️ ❤️ ,0,0,网易浙江省杭州手机网友&nbsp;m150****4674： ,0,0.0031559015358720807,6.678717346053,0.02107737433006417
2,2,2,【TED首播】改变命运的那个机会,"多元文化,跨国收养,","Talentisuniversal,butopportunitiesarenot. ",0,1,网易上海市浦东新区网友&nbsp;有态度网友07Io6O： ,1,0.011571638964864295,12.784252119386787,0.1479347499613451
3,3,3,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",大学 结婚 目标 总 梦想 咸鱼 干 优秀 上进 性格 目标 太 颗 坚定 心 试图 改变 灰心 一事无成 ,0,1,网易上海市奉贤区手机网友&nbsp;有态度网友07HnKG： ,1,0.011150852093414687,1.2686273708122293,0.014146276173584717
4,4,4,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",Lo ve w i n s ,0,1,网易山东省手机网友&nbsp;有态度网友07Fuvt： ,1,0.010730065221965075,4.363801994004,0.04682388001140416
5,5,5,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",LO V E W I N S 真 爱 敌 ,0,1,网易广东省深圳手机网友&nbsp;有态度网友07BVa3： ,1,0.01051967178624027,9.6586942281181,0.10160629316345571
6,6,6,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",介绍 机会 ,0,1,网易江西省手机网友&nbsp;有态度网友07GYUC： ,1,0.010309278350515464,-0.885773260937,-0.009131683102443298
7,7,7,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",lo ve w i n s b r 真 爱 敌 ,0,1,网易北京市通州区手机网友&nbsp;m183****7085_1： ,1,0.008626130864717021,12.198081222802701,0.10522224492634352
8,8,8,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",抓住 机会 命运 手 里 ,0,1,网易四川省手机网友&nbsp;有态度网友07Gwzx： ,1,0.012413212707763518,-0.27532934446500024,-0.00341772171753314
9,9,9,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",记得 说 句 阿甘达到机场 开 七个小时 车 坐 美国 飞~ ,0,2,网易山东省手机网友&nbsp;有态度网友07GW_2： ,2,0.012623606143488323,1.0747193466709501,0.013566833747161163
10,10,10,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",天赋 机会 难求 难 同情 理解 ,0,1,网易湖南省手机网友&nbsp;有态度网友07G2fB： ,1,0.009678098043341049,-4.0851760370316,-0.03953673421069927
11,11,11,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",挺 真 爱 敌 ,0,1,网易浙江省绍兴手机网友&nbsp;222257519： ,1,0.012202819272038713,3.7627163795461,0.04591574795154088
12,12,13,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",机会 新 生命 ,0,3,网易陕西省安康网友&nbsp;有态度网友06Jb5i： ,3,0.015569114243635598,2.363373861166,0.036795637644915634
13,13,14,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",lo ve w i n s 说 志 青年 社 影响 无与伦比 ,0,11,网易山西省太原手机网友&nbsp;有态度网友07ATYT： ,11,0.0195665895224069,11.962666789541,0.23406859066427793
14,14,15,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",幽默 感动 演讲 ,0,4,网易江苏省南京手机网友&nbsp;m133****5170： ,4,0.018093835472333262,0.862469477885,0.01560538083276036
15,15,16,【TED首播】改变命运的那个机会,"多元文化,跨国收养,","能力 爱 创造 人生 梦想 机会 奉献 爱, 收获 肯定 爱 ",0,7,网易北京市丰台区网友&nbsp;有态度网友07neDt： ,7,0.018935409215232485,10.6641277732139,0.20192962330933117
16,16,17,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",Lo ve w i n s ,0,1,网易山西省吕梁网友&nbsp;如果菓果： ,1,0.009046917736166631,4.363801994004,0.03947895765667409
17,17,18,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",努力 充实 能力 社会 做出 贡献 ,0,2,网易河南省手机网友&nbsp;有态度网友07vJCG： ,2,0.014937933936461183,5.1808366165144,0.07739099511309118
18,18,19,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",换 一种 思维 努力 ,0,1,网易山东省手机网友&nbsp;m178****6816_1： ,1,0.011992425836313906,2.4576028304672004,0.02947261967949304
19,19,20,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",天赋 机会 难 无意 不见 ,0,1,网易江西省手机网友&nbsp;有态度网友07xd2-： ,1,0.01136124552913949,0.6537677680525,0.007427616131881969
20,20,21,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",天赋 大放异彩 机遇 耀眼 ,0,3,网易安徽省合肥网友&nbsp;有态度网友07uc1R： ,3,0.015779507679360403,0.1895443067841,0.00299091584447875
21,21,22,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",机会 到来 抓住 无济于事 身上 生活 拼搏 感恩 世界 爱 包容 生活 也许 公平 真诚 付出 百分百 努力 ,0,9,网易湖北省襄阳手机网友&nbsp;有态度网友077vfP： ,9,0.019356196086682098,15.167522463384973,0.29358553895043504
22,22,23,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",爱因斯坦 说 现象 程度 毛骨悚然 便是 人性 远远 落后 科学技术 邪恶 控制 高端 科学技术 件 可怕 事情 爱迪生 爱因斯坦 科学技术 知识 善良 心怀 全人类 正义 商家 厂家 才是 良性 循 社会 财富 社会 贡献 大小 分配 贡献 分为 精神 变得 善良 正义 智慧 充满 爱 拥有 美好 爱情 亲情 友情 美 梦 成 真 世界 变得 美好 丰厚 财富 物质 贡献 爱迪生 发明 电灯 世界 变得 美好 ,0,6,网易福建省漳州网友&nbsp;正义鹰派是条反人类的狗： ,6,0.018725015779507678,34.80829880196323,0.6517859443245797
23,23,24,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",明星 有钱 名气 地位 权势 帅气 漂亮 高人一等 演 电视剧 生活 作风 传播 信息 有钱 名气 地位 权势 帅气 漂亮 迎娶 嫁 对象 远 等于 下取 嫁 高高在上 好像 做出 牺牲 做 感谢 这是 天大 福分 感觉 当成 恩人 现实 生活 中 远 谈 恋爱 话 明星 感觉 侮辱 看不起 爱情 平等 低俗 爱情 平等 有利于 社会 健康 发展 角度 尊重 爱 感谢 人格 魅力 也就是 真善美 品质 善良 正义 感 勇气 智慧 爱 同情心 美好 情感 社会 爱 贡献 社会 里 钱 名气 地位 权势 父母 遗传 帅气 漂亮 社会 爱 贡献 少 少 负面 危害 贡献 正比 相 匹配 人格 魅力 贡献 爱 感谢 尊重 理所应当 有利于 健康 成长 角度 理所应当 真心 给予 也就是 真心 给予 理所应当 感激 感恩 回报 ,0,2,网易福建省漳州网友&nbsp;正义鹰派是条反人类的狗： ,2,0.01283399957921313,53.47195813005115,0.6862590881407785
24,24,25,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",说到底 说 得意 ,0,1,网易广东省梅州网友：,1,0.010098884914790659,-1.3595962520799998,-0.013730406080336629
25,25,26,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",逆天 改命 ,0,0,网易广东省深圳网友&nbsp;雞巴毛啊： ,0,0.001051967178624027,-1.0515864335485,-0.0011062344135793184
26,26,27,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",发言 审核 乱 说 ,0,2,网易吉林省长春网友：,2,0.014727540500736377,-0.6590973195513998,-0.009706882467620026
27,27,28,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",想 改变 命运 父母 父母 2000年代 说 事业 家庭 环境 差 子女 一辈子 ,0,4,网易吉林省长春网友：,4,0.01746265516515885,3.935437040071199,0.06872317995495678
28,28,29,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",lo ve w i n s ,0,1,网易广东省珠海手机网友&nbsp;有态度网友07w2Li： ,1,0.008836524300441826,7.778226815795,0.06873249027212076
29,29,31,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",lo ve w i n s ,0,1,网易江西省手机网友&nbsp;有态度网友07vBCS： ,1,0.008415737428992216,7.778226815795,0.06545951454487692
30,30,32,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",天赋 机会 真 ,0,1,网易广东省广州手机网友&nbsp;wangchaobiao2393： ,1,0.009257311171891438,1.2015218411705,0.011122861563539239
31,31,33,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",lo ve w i n e s ,0,0,网易上海市闵行区手机网友：,0,0.0006311803071744162,7.778226815795,0.004909463590865769
32,32,34,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",天赋 机会 遇 求 ,0,1,网易广东省手机网友&nbsp;有态度网友07sHY2： ,1,0.009467704607616242,-1.3511216359729001,-0.012792020538350622
33,33,35,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",不在乎 成功 前 经历 什 不在意 做 一件 事 做 苦难 留给 ,0,2,网易吉林省长春手机网友&nbsp;m150****3627： ,2,0.013885966757837155,-1.8421988023999,-0.02558071133145243
34,34,36,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",说 心动 ,0,1,网易辽宁省大连手机网友&nbsp;有态度网友07v2H5： ,1,0.009888491479065852,0.08251612999730001,0.0008159600483637914
35,35,37,【TED首播】改变命运的那个机会,"多元文化,跨国收养,",哼呵 励志 演讲 良知 选择 ,0,1,网易广东省广州手机网友&nbsp;有态度网友06Ls6d： ,1,0.01094045865768988,6.556982309677,0.07173639387822513
