,Unnamed: 0,CourseName,CourseTag,Content,Down-votes,Up-votes,User,label
0,0,{##中国##}地质{##大学##}（北京）{##公开课##}：地质学专业导论,"{##中国##}{##视频##}{##大学##}{##公开课##},地质学专业导论,网易{##公开课##},理学,地质,{##中国##}地质{##大学##}（北京）,王根厚、于炳松、陈建强、李胜荣、颜丹平、薛春纪,",小行星 撞击 地质 变化 动力 ,0,0,网易山东省潍坊网友&nbsp;m159****9175： ,0
1,1,{##中国##}地质{##大学##}（北京）{##公开课##}：地质学专业导论,"{##中国##}{##视频##}{##大学##}{##公开课##},地质学专业导论,网易{##公开课##},理学,地质,{##中国##}地质{##大学##}（北京）,王根厚、于炳松、陈建强、李胜荣、颜丹平、薛春纪,",中 规 中 矩 课程 有趣 系统 ,0,0,网易上海市浦东新区手机网友：,1
2,3,{##中国##}海洋{##大学##}{##公开课##}：海洋科学专业导论,"{##中国##}海洋{##大学##},{##中国##}{##视频##}{##大学##}{##公开课##},高会旺,海洋科学专业导论,网易{##公开课##},海洋科学,赵进平,",这是 硕士 研究生 导师 遗憾 终于 睹 风采 ,0,0,网易山东省泰安网友：,1
3,4,{##中国##}海洋{##大学##}{##公开课##}：海洋科学专业导论,"{##中国##}海洋{##大学##},{##中国##}{##视频##}{##大学##}{##公开课##},高会旺,海洋科学专业导论,网易{##公开课##},海洋科学,赵进平,",老师 讲课 水平 真心不咋滴 急促 紧张 样子 ,0,0,网易江苏省南京网友&nbsp;雪夜漫行： ,1
4,5,{##中国##}海洋{##大学##}{##公开课##}：海洋科学专业导论,"{##中国##}海洋{##大学##},{##中国##}{##视频##}{##大学##}{##公开课##},高会旺,海洋科学专业导论,网易{##公开课##},海洋科学,赵进平,",研究生 海大 学 海洋 遥 ,0,1,网易吉林省长春手机网友：,0
5,6,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",创新 学习 中 同学 萌 ,0,1,网易北京市通州区网友：,3
6,7,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",智力 120 正 相关 120 没关系 b r> 情绪 b r> 延迟 评价 鼓励 ,0,2,网易湖南省长沙手机网友：,3
7,8,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",庞 老师 学 时习 习 理解 错 复习 小学 飞 指 理论 联系实际 江西师范大学 ,0,0,网易江西省南昌网友：,1
8,9,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",老师 学 学 心理学 教学 孩子 心理 学 教 ,0,0,网易山东省德州网友&nbsp;zhuzhangmangxie001： ,1
9,10,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",喜欢 庞 老师 语速 紧凑 思考 余地 老师 讲 门 课 学习 学 ,0,0,网易吉林省四平网友&nbsp;121726588： ,1
10,11,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",喜欢 庞 老师 语速 紧凑 思考 余地 老师 讲 门 课 学习 学 ,0,1,网易吉林省四平网友&nbsp;121726588： ,1
11,12,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",受益 谢谢庞 老师 ,0,3,网易河南省新乡手机网友&nbsp;有态度网友07j2W0： ,3
12,13,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",多媒体 学习 一种 情景 学习 图像 想象 融入 图像 文字 记忆 存 讲 理解 先 提问 呼吸 身体 变化 答 学生 未知 好奇心 解惑 利于 学 创新 知识 想象力 创造 新 事 拙见 谢谢 老师 精彩 公开 课 学习 ,0,0,网易安徽省合肥手机网友&nbsp;有态度网友070mNI： ,1
13,14,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",老师 讲 原则 做 PP t哦 ,2,2,网易上海市松江区手机网友&nbsp;有态度网友06x8Ni： ,1
14,15,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",学 完 讲 ,2,0,网易河南省信阳手机网友&nbsp;oep2jtwzpq1e7e2f3569d40280691775f5ec198e0b： ,0
15,16,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",老师 讲 棒 理论 成 体系 加深 教育 心理学 理解 帮 建议 网 易 开些 考研 基础 课程 课程 跨 校 跨 专业 考生 兴趣 学习 才是 在线 课程 价值 ,1,3,网易河南省信阳手机网友：,3
16,17,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",经典 作 受益匪浅 假设 人类 本性 个性 教学 现实 实验 科研 价值 启发性 ,0,2,网易北京市大兴区手机网友&nbsp;m188****4658： ,3
17,18,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",切实 不错 谢谢庞 老师 受益 ∩ ∩ ,0,2,网易云南省大理白族自治州网友&nbsp;HappyKim1024： ,0
18,19,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",低 b r b r 少 ,0,0,网易重庆市北碚区网友：,2
19,20,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",知识 水平 高 影响 弥补 多媒体 设计 说 反 知识 水平 高 影响 ,0,0,网易湖南省永州网友：,2
20,21,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",不错 学习 材料 一线 教师 体验 学习 ,1,0,网易山东省青岛网友&nbsp;rowen0615： ,3
21,22,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",课程 9. 5分 满分10分 受益匪浅 ,0,0,网易广东省深圳网友：,3
22,23,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",课程 9. 5分 满分10分 受益匪浅 ,0,1,网易广东省深圳网友：,3
23,24,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",知识 水平 高 影响 弥补 多媒体 设计 说 反 知识 水平 高 影响 ,0,1,网易湖南省永州网友：,2
24,25,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",心理学 讲 一线 教师 帮 谢 谢庞 老师 ,0,6,网易浙江省杭州网友&nbsp;144464348： ,1
